slug,作品,年份／媒介,最高明确度,女女关系位置,恋爱位置,适合的查询,男性恋爱线,Bangumi 条目,Bangumi 维基百合,Bangumi 百合标签比例,Anime-Planet GL,AniList Yuri 相关性,MyAnimeList Girls Love
shirobako_tv_2014,白箱,2014 TV,非恋爱,重要副线,缺席,,无,https://bangumi.tv/subject/110467,命中,0.010773203823620105,未命中,0,未命中
liz_to_aoi_tori_movie_2018,莉兹与青鸟,2018 剧场动画,潜在恋爱,主线,主线,未确认、主线,无,https://bangumi.tv/subject/216371,命中,0.13715832337665504,未命中,82,未命中
mahou_shoujo_madoka_magica_tv_2011,魔法少女小圆,2011 TV,潜在恋爱,主线,主线,未确认、主线,副线,https://bangumi.tv/subject/9717,未命中,0.02933597621407334,未命中,71,未命中
mahou_shoujo_madoka_magica_rebellion_movie_2013,剧场版 魔法少女小圆 [新篇] 叛逆的物语,2013 剧场动画,明确欲望,主线,主线,欲望、未确认、主线、官方恋爱,无,https://bangumi.tv/subject/44693,命中,0.0671980416741298,未命中,81,未命中
shoujo_kageki_revue_starlight_movie_2021,剧场版 少女☆歌剧 Revue Starlight,2021 剧场动画,潜在恋爱,主线,主线,未确认、主线,无,https://bangumi.tv/subject/294135,命中,0.11964837253504396,未命中,82,未命中
nichijou_tv_2011,日常,2011 TV,非恋爱,主线,缺席,主线,副线,https://bangumi.tv/subject/9912,未命中,0.0010613992480256176,未命中,0,未命中
hibike_euphonium_2_tv_2016,吹响吧！上低音号 第二季,2016 TV,潜在恋爱,主线,主线,未确认、主线,副线,https://bangumi.tv/subject/152091,未命中,0.055427880254006655,未命中,60,未命中
k_on_second_season_tv_2010,轻音少女 第二季,2010 TV,非恋爱,主线,缺席,主线,副线,https://bangumi.tv/subject/3774,未命中,0.008714774393223651,未命中,33,未命中
shoujo_kakumei_utena_tv_1997,少女革命,1997 TV,明确欲望,主线,主线,欲望、未确认、主线,并行,https://bangumi.tv/subject/1453,命中,0.07630543730128793,未命中,85,未命中
k_on_movie_2011,轻音少女 剧场版,2011 剧场动画,非恋爱,主线,缺席,主线,无,https://bangumi.tv/subject/12426,命中,0.04429104698702376,未命中,60,未命中
arcane_season_1_web_2021,英雄联盟：双城之战,2021 WEB,潜在恋爱,主线,重要副线,未确认、主线,副线,https://bangumi.tv/subject/335036,未命中,0.011507729720340455,无可对应页面,,无可对应页面
uma_musume_pretty_derby_season_2_tv_2021,赛马娘 Pretty Derby 第二季,2021 TV,潜在恋爱,主线,主线,未确认、主线,无,https://bangumi.tv/subject/315574,未命中,0.05301714153347232,未命中,0,未命中
